target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002519718,1998-10-26,0.002285054,2.313593000,2.361250000,2.411041000,2.986400000,0.625150000,20.933230646,0.031400000,0.010800000,0.228505376,99.771494624,0.228505376,0.439264000,192.233552000,81.570784966,996209412.265386581,996209450.539999962,216,0.000000038
0.005039437,1998-10-06,0.005429479,2.327187000,2.389114000,2.515156000,3.011800000,0.622686000,20.674878810,0.028100000,0.008800000,0.542947882,99.457052118,0.542947882,1.043728000,192.233552000,80.619432978,2374662956.228553295,2374663050.010000229,510,0.000000039
0.007559155,1992-01-21,0.007560387,2.283072000,2.330104000,2.417187000,2.903800000,0.573696000,19.756732557,0.026700000,0.007900000,0.756038675,99.243961325,0.756038675,1.453360000,192.233552000,82.661124139,3297260768.679709911,3297260895.380000114,714,0.000000038
0.010078873,1998-09-16,0.010008409,2.452083000,2.515000000,2.576145000,3.177700000,0.662700000,20.854706234,0.028400000,0.007800000,1.000840894,98.999159106,1.000840894,1.923952000,192.233552000,76.584101789,4369328373.559813499,4369328546.800000191,959,0.000000040
0.012598592,1992-02-05,0.012379275,2.432395000,2.507239000,2.537291000,3.104000000,0.596761000,19.225547680,0.031300000,0.007400000,1.237927498,98.762072502,1.237927498,2.379712000,192.233552000,76.821163040,5409055816.024209976,5409056024.069999695,1197,0.000000038
0.015118310,1992-02-15,0.015164137,2.382447000,2.419322000,2.546770000,3.046400000,0.627078000,20.584230567,0.028500000,0.008500000,1.516413742,98.483586258,1.516413742,2.915056000,192.233552000,79.612807225,6621445976.532640457,6621446231.970000267,1438,0.000000039
0.017638028,1992-02-25,0.017635881,2.454218000,2.508177000,2.567239000,3.081800000,0.573623000,18.613245506,0.026800000,0.009200000,1.763588075,98.236411925,1.763588075,3.390208000,192.233552000,76.792433708,7697554698.103280067,7697554996.529999733,1647,0.000000039
0.020157746,1998-08-16,0.019748394,2.635364000,2.665989000,2.717708000,3.366300000,0.700311000,20.803582568,0.027800000,0.013700000,1.974839439,98.025160561,1.974839439,3.796304000,192.233552000,72.246740703,8611585560.114299774,8611585900.479999542,1880,0.000000040
0.022677465,1992-03-27,0.022884996,2.497343000,2.520729000,2.587864000,3.109200000,0.588471000,18.926765728,0.026800000,0.008600000,2.288499564,97.711500436,2.288499564,4.399264000,192.233552000,76.410044872,9990670968.564863205,9990671358.090000153,2143,0.000000039
0.025197183,1996-08-27,0.025197183,2.567916000,2.600156000,2.643333000,3.306400000,0.706244000,21.359908057,0.029600000,0.008500000,2.519718306,97.480281694,2.519718306,4.843744000,192.233552000,74.075946212,10986918410.296333313,10986918841.680000305,2179,0.000000039
