# cpu_join_preprocessing_ms=75710.318,pre_joined_rows=12014597
target_selectivity,cutoff_date,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,cpu_join_preprocessing_ms,total_with_preprocessing_ms,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002500000,1998-10-24,30501,0.002538662,2.708072000,2.714791000,2.743125000,3.257900000,75710.317700000,75713.575600000,0.543109000,16.670523957,0.023700000,0.006600000,0.488016000,192.233552000,70.809705793,1106927926.840137005,1106927969.500000000,240,0.000000039
0.005000000,1998-10-08,60622,0.005045696,2.790625000,2.796822000,2.807135000,3.315100000,75710.317700000,75713.632800000,0.518278000,15.633857199,0.029700000,0.010000000,0.969952000,192.233552000,68.732851787,2205814345.865207672,2205814432.750000000,478,0.000000039
0.007500000,1998-09-26,90688,0.007548152,2.866822000,2.876302000,2.887916000,3.401700000,75710.317700000,75713.719400000,0.525398000,15.445159773,0.025000000,0.009000000,1.451008000,192.233552000,66.833577281,3297694581.108388424,3297694711.559999943,725,0.000000040
0.010000000,1998-09-16,120247,0.010008409,2.930781000,2.940989000,2.952447000,3.473500000,75710.317700000,75713.791200000,0.532511000,15.330675112,0.028300000,0.009400000,1.923952000,192.233552000,65.363573954,4369328373.559813499,4369328546.800000191,959,0.000000040
0.012500000,1998-09-07,150170,0.012498963,2.981562000,2.988802000,2.996145000,3.506900000,75710.317700000,75713.824600000,0.518098000,14.773674755,0.024800000,0.006100000,2.402720000,192.233552000,64.317928053,5453563483.835919380,5453563700.250000000,1195,0.000000040
0.015000000,1998-08-30,179461,0.014936914,3.018437000,3.029739000,3.038072000,3.557400000,75710.317700000,75713.875100000,0.527661000,14.832771125,0.024700000,0.008700000,2.871376000,192.233552000,63.448881900,6521380919.084349632,6521381177.810000420,1416,0.000000040
0.017500000,1998-08-22,211494,0.017603087,3.060104000,3.065625000,3.077760000,3.597300000,75710.317700000,75713.915000000,0.531675000,14.779834876,0.024200000,0.005800000,3.383904000,192.233552000,62.706153558,7680601387.754940987,7680601691.449999809,1674,0.000000040
0.020000000,1998-08-15,241767,0.020122772,3.076666000,3.091562000,3.102395000,3.613100000,75710.317700000,75713.930800000,0.521538000,14.434640613,0.024600000,0.008400000,3.868272000,192.233552000,62.180073374,8773641725.796585083,8773642072.290000916,1914,0.000000039
0.022500000,1998-08-09,269365,0.022419812,3.097760000,3.114270000,3.122083000,3.607300000,75710.317700000,75713.925000000,0.493030000,13.667562997,0.024900000,0.007300000,4.309840000,192.233552000,61.726681373,9780390028.411924362,9780390413.930000305,2122,0.000000039
0.025000000,1997-09-08,300378,0.025001088,3.136770000,3.149843000,3.158020000,3.592400000,75710.317700000,75713.910100000,0.442557000,12.319257321,0.029500000,0.008900000,4.806048000,192.233552000,61.029566236,10903523500.267774582,10903523927.829999924,2352,0.000000039
